Wavelength in nm	0.5 ps	1.5 ps	20.4 ps	101 ps	501 ps
432.0	-0.051289352102633336	-0.0522322793076706	-0.05230960324969429	-0.05188863013176082	-0.05160384819136998
433.0	-0.05197230268117491	-0.05285002446720978	-0.053633001637050516	-0.052811336459024597	-0.05206571838597496
434.0	-0.052129217841491535	-0.05276930871669215	-0.05353266710683373	-0.053123171581875156	-0.05262625902227079
435.0	-0.051962715973447975	-0.052491029664473006	-0.05410541649796651	-0.053491715912254385	-0.052805938468428563
436.0	-0.051327324219319764	-0.05159725282999845	-0.05367443186540796	-0.05250653375855543	-0.05227625486105561
437.0	-0.05164824461195636	-0.052390409955880915	-0.053512698492958775	-0.052601987587612434	-0.05207878434519858
438.0	-0.05198378990122425	-0.05149646057142177	-0.05375090173137102	-0.05262619962467985	-0.0526843573387272
439.0	-0.05083391637401003	-0.05144199423822439	-0.05317594336014258	-0.05227532349100738	-0.05173617086447785
440.0	-0.05110213710072102	-0.05169313695363563	-0.05315227708901473	-0.05227534718654732	-0.051712523666952004
441.0	-0.05083912195418873	-0.051592094375082435	-0.05319742868644774	-0.05247032092806757	-0.05165052710838302
442.0	-0.05060288096239539	-0.05073059161206921	-0.052441172191600306	-0.05137899663217968	-0.05131064403845935
443.0	-0.04904498288540213	-0.05052620174952319	-0.05172901004878974	-0.05079715502822381	-0.05047579417061219
444.0	-0.04947648928218532	-0.05081616942115757	-0.05227233474456814	-0.05151867441261468	-0.0506157174591552
445.0	-0.048640723975267273	-0.05016441409860147	-0.05182555910999124	-0.05044853724854325	-0.05011513735619033
446.0	-0.04886670126620889	-0.049205509635263996	-0.0512963452915021	-0.05067639955367202	-0.050753053299917424
447.0	-0.047879008144258876	-0.049143349084288905	-0.05115918183145445	-0.05019786808966128	-0.04938137751703403
448.0	-0.04775715456033781	-0.049171347455643555	-0.05102105741115555	-0.05010386649663847	-0.049021093513508744
449.0	-0.04623354567935766	-0.04783912678551273	-0.05023195912536689	-0.04845543938395968	-0.0482375396353416
450.0	-0.046224320351532	-0.04769398420273666	-0.05054448400660634	-0.049191684728776816	-0.0489250631394724
451.0	-0.045280757215993304	-0.04696936963851327	-0.04890540475873886	-0.04807070634072869	-0.04698588068789255
452.0	-0.044129321347197534	-0.04624039455110004	-0.04805246239527464	-0.04743030772655822	-0.046624618920888844
453.0	-0.042533064342733594	-0.044210914206318744	-0.046644938690974594	-0.045725707150645015	-0.04524686303323294
454.0	-0.042693275259207825	-0.04471898561412926	-0.04718343869592344	-0.04608571489067723	-0.04588131896909407
455.0	-0.040747435476523756	-0.04324399065488473	-0.0460296147687925	-0.04518657382360596	-0.044141951693957536
456.0	-0.04030251399885941	-0.04270974603387176	-0.04562582259286701	-0.04480385244399254	-0.043998365207905364
457.0	-0.039344490461939725	-0.04093682545327452	-0.04368136395704189	-0.0426407408768664	-0.04231502895689654
458.0	-0.03926605862937179	-0.041380359080777564	-0.04447398232670699	-0.04306579712201763	-0.04285174584331355
459.0	-0.03830053214132055	-0.04043811973162019	-0.04259552739561993	-0.041624998744774884	-0.04131419944947067
460.0	-0.03827723534993832	-0.04016185997031593	-0.042495922464173004	-0.04112802465898657	-0.04081996771552408
461.0	-0.036545673027675106	-0.03839294340915675	-0.04104798983037252	-0.03981773993677679	-0.03950242577352916
462.0	-0.03657671296170573	-0.03906329464225334	-0.04079526758544466	-0.040086153181115664	-0.03947384309147974
463.0	-0.034922697293763565	-0.03705436666709089	-0.03894842431067374	-0.037927868463894975	-0.03754377461409986
